Games,Host_Country,Medal,Total_Medals_Available,Percentage_Medals_Won,Summer Average Medals,Winter Average Medals,Summer Average %,Winter Average %
1960 Summer,Italy,360,885,0.4067796610169492,53.46666666666667,10.538461538461538,0.03475773748625022,0.03389299383498886
1960 Winter,United States,46,91,0.5054945054945055,221.28571428571428,28.4,0.14385394201870746,0.09133790747356121
1964 Summer,Japan,446,1018,0.4381139489194499,53.07142857142857,5.545454545454546,0.034500800167817834,0.01783486669618193
1964 Winter,Austria,47,158,0.2974683544303797,3.6153846153846154,13.642857142857142,0.0023502978062350283,0.04387711349962322
1968 Summer,Mexico,442,1053,0.41975308641975306,5.066666666666666,0.0,0.003293750684482564,0.0
1968 Winter,France,96,195,0.49230769230769234,47.266666666666666,7.933333333333334,0.030727226780238658,0.02551457978721546
1972 Summer,Germany,581,1202,0.48336106489184694,124.88888888888889,30.11111111111111,0.08118806511750883,0.09684105213354886
1972 Winter,Japan,118,199,0.592964824120603,53.07142857142857,5.545454545454546,0.034500800167817834,0.01783486669618193
1976 Summer,Canada,482,1303,0.3699155794320798,32.92857142857143,31.0,0.02140628381879411,0.0996998285802957
1976 Winter,Austria,54,195,0.27692307692307694,3.6153846153846154,13.642857142857142,0.0023502978062350283,0.04387711349962322
1980 Summer,Russia,655,1377,0.4756717501815541,146.83333333333334,34.666666666666664,0.09545376161280064,0.11149228142312637
1980 Winter,United States,127,195,0.6512820512820513,221.28571428571428,28.4,0.14385394201870746,0.09133790747356121
1984 Summer,United States,690,1463,0.47163362952836635,221.28571428571428,28.4,0.14385394201870746,0.09133790747356121
1984 Winter,Bosnia and Herzegovina,96,220,0.43636363636363634,38.0,3.5,0.02470313013361923,0.011256432259065644
1988 Summer,South Korea,545,1576,0.34581218274111675,34.30769230769231,11.142857142857142,0.02230282599108133,0.03583680474314776
1988 Winter,Canada,161,251,0.6414342629482072,32.92857142857143,31.0,0.02140628381879411,0.0996998285802957
1992 Summer,Spain,343,1523,0.22521339461588968,32.30769230769231,1.0,0.021002661247206632,0.003216123502590184
1992 Winter,France,165,311,0.5305466237942122,47.266666666666666,7.933333333333334,0.030727226780238658,0.02551457978721546
1994 Winter,Norway,159,324,0.49074074074074076,15.166666666666666,20.6,0.009859582641049781,0.0662521441533578
1996 Summer,United States,738,1717,0.42981945253348863,221.28571428571428,28.4,0.14385394201870746,0.09133790747356121
1998 Winter,Japan,233,437,0.5331807780320366,53.07142857142857,5.545454545454546,0.034500800167817834,0.01783486669618193
2000 Summer,Australia,760,1993,0.38133467134972404,75.46666666666667,2.3333333333333335,0.04905954966887188,0.00750428817271043
2002 Winter,United States,284,477,0.5953878406708596,221.28571428571428,28.4,0.14385394201870746,0.09133790747356121
2004 Summer,Greece,494,2000,0.247,7.25,0.0,0.004713097196545775,0.0
2006 Winter,Italy,266,526,0.5057034220532319,53.46666666666667,10.538461538461538,0.03475773748625022,0.03389299383498886
2008 Summer,China,703,2035,0.34545454545454546,92.0,9.857142857142858,0.059807578218236034,0.0317017888112461
2010 Winter,Canada,279,515,0.541747572815534,32.92857142857143,31.0,0.02140628381879411,0.0996998285802957
2012 Summer,United Kingdom,667,1915,0.3483028720626632,55.2,3.375,0.035884546930941626,0.01085441682124187
2014 Winter,Russia,303,570,0.531578947368421,146.83333333333334,34.666666666666664,0.09545376161280064,0.11149228142312637
2016 Summer,Brazil,569,2014,0.28252234359483613,27.8,0.0,0.01807228993985828,0.0
